radial_frequency,Interp,Direct SR,Residual SR
0.4640388251543281,0.001238405715862504,0.0004810343595852889,0.0004862382651404245
0.4728776599191724,0.0012649396206085503,0.0004785600862004095,0.0004856083007300784
0.4817164946840168,0.0012900418000852832,0.0004794414779288622,0.00048748574792151943
0.4905553294488611,0.0013118939498021728,0.00047889458226756045,0.00048452994474692157
0.49939416421370547,0.0013246171584100324,0.0004986903598285522,0.0004918109206388568
0.5082329989785499,0.0013261867672101804,0.00046177087766652823,0.00046553835404685237
0.5170718337433942,0.0013305557106509961,0.00045415353239116707,0.0004577202848522989
0.5259106685082384,0.001324556642972093,0.0004423450802837384,0.0004446988694093597
0.5347495032730829,0.0013209768520354784,0.0004293636141448538,0.000432210165556551
0.5435883380379272,0.0013384022624000303,0.00041891269619599464,0.00042180391279477894
0.5524271728027714,0.0013485233390236996,0.000404162686392681,0.0004086560142547023
0.5612660075676159,0.0013545058681167352,0.00038834517973893403,0.00039456709292987177
0.5701048423324602,0.001363569748314696,0.0003763014418180079,0.0003824700530583286
0.5789436770973047,0.0013736297678871203,0.0003583734293602901,0.00036315266269500233
0.5877825118621489,0.0013708704327988102,0.0003405496833805517,0.0003455195854511383
0.5966213466269932,0.0013804179016869106,0.0003257138072510916,0.00033054013876341893
0.6054601813918377,0.0013775056953829559,0.0003097612172893215,0.00031544284662770206
0.6142990161566819,0.0013825900196533963,0.00029838168895178,0.00030341693075711297
0.6231378509215262,0.0013925526694850852,0.00028909121411286963,0.00029346937522212126
0.6319766856863707,0.0014185740264105627,0.0002820757471043441,0.00028786087090102797
0.6408155204512149,0.0014286092730097216,0.00027834249212279965,0.00028000935337085656
0.6496543552160594,0.0014355205455111898,0.0002731090948537768,0.00027508055849772564
0.6584931899809037,0.0014329950115572927,0.0002660285038604581,0.0002690560970271601
0.6673320247457479,0.0014526112474468793,0.00026531723733017124,0.0002739013088547243
0.6761708595105924,0.001429046894837059,0.0002718817167272413,0.00028787033804487965
0.6850096942754367,0.0014425937239586752,0.00028073432972526715,0.0003017168140840543
0.6938485290402809,0.0014045424790305966,0.0003245019405753616,0.0003445585089757777
0.7026873638051254,0.0013885036270889137,0.00048473345750236975,0.001056317154926595
